symbol,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,industry
CIG,-0.2377,0.0042,0.0007,0.0045,0.0002,-0.4868,0.0468,-0.0195,-0.0213,0.1438,Xây dựng và Vật liệu
CII,0.0625,0.1269,0.0948,0.0116,0.023,0.022,-0.0095,0.0376,0.0135,0.021,Xây dựng và Vật liệu
CIP,0.0021,0.0298,0.0349,-0.043,0.0026,-0.151,-0.1497,0.0018,0.0021,0.0009,Xây dựng và Vật liệu
CJC,0.0337,0.0422,0.0265,0.0005,-0.1566,0.0228,-0.0257,0.0137,0.0266,0.0554,Hàng & Dịch vụ Công nghiệp
CKD,0.1019,0.1135,0.131,0.1352,0.0827,0.1456,0.1511,0.1313,0.1223,0.1041,Hàng & Dịch vụ Công nghiệp
CKG,0.0717,0.0626,0.0435,0.0489,0.0492,0.0539,0.0645,0.0624,0.0871,0.0354,Bất động sản
CKV,0.0403,0.0357,0.0376,0.0504,0.0542,0.0054,0.0235,0.0262,0.0307,0.031,Công nghệ Thông tin
CLC,0.1573,0.1617,0.1619,0.1767,0.1654,0.1711,0.1529,0.1259,0.1184,0.0966,Hàng cá nhân & Gia dụng
CLH,0.0702,0.0812,0.0875,0.121,0.1751,0.1916,0.2577,0.2659,0.2336,0.1931,Xây dựng và Vật liệu
CLL,0.1159,0.1266,0.1415,0.1414,0.139,0.1456,0.1309,0.1394,0.1592,0.1583,Hàng & Dịch vụ Công nghiệp
CLM,0.0464,0.0646,0.0711,0.0218,0.0734,0.0828,0.0678,0.4929,0.1141,0.1971,Tài nguyên Cơ bản
CLW,0.1246,0.0653,0.0666,0.057,0.0867,0.0961,0.0979,0.0893,0.1486,0.1539,"Điện, nước & xăng dầu khí đốt"
CLX,0.0799,0.0158,0.1329,0.1172,0.1127,0.1161,0.1142,0.1148,0.1046,0.1077,Thực phẩm và đồ uống
CMC,0.0018,0.0047,0.0171,-0.0127,0.0003,0.0034,0.0267,-0.0119,0.0052,0.0009,Hàng & Dịch vụ Công nghiệp
CMD,0.113,0.1119,0.1004,0.0978,0.0978,0.2021,0.1117,0.0966,0.0987,0.0991,Xây dựng và Vật liệu
CMF,0.1403,0.1134,0.1207,0.2168,0.3047,0.2757,0.2405,0.2351,0.1963,0.1738,Thực phẩm và đồ uống
CMG,0.0912,0.1031,0.1029,0.0907,0.0614,0.0702,0.0733,0.0798,0.0818,0.0784,Công nghệ Thông tin
CMI,0.0001,-0.1505,-0.6461,-1.9245,-0.6635,-0.0704,0.1209,0.294,-0.1077,-0.3289,Xây dựng và Vật liệu
CMK,0.0403,0.016,0.0085,0.0193,0.0125,0.0238,0.02,0.0185,0.0022,0.0237,Hàng & Dịch vụ Công nghiệp
CMN,0.2509,0.1589,0.1736,0.1892,0.1762,0.1549,0.102,0.1414,0.136,0.1438,Thực phẩm và đồ uống
CMP,0.0331,0.0598,0.062,0.0635,0.0475,0.0251,0.0034,-0.0168,-0.0138,0.0473,Hàng & Dịch vụ Công nghiệp
CMS,0.0754,0.0116,0.0211,-0.0009,0.011,-0.0481,0.0562,0.0001,0.0058,0.0108,Xây dựng và Vật liệu
CMT,0.041,0.032,0.041,0.1002,0.035,0.0891,0.0791,0.0581,0.0415,0.0383,Công nghệ Thông tin
CMV,0.0675,0.0527,0.0601,0.0494,0.0378,0.0421,0.0785,0.0623,0.0328,0.0235,Bán lẻ
CMX,0.0528,-0.0942,0.0573,0.15,0.0744,0.0516,0.0397,0.0366,0.022,0.0191,Thực phẩm và đồ uống
CNC,0.2337,0.2479,0.2312,0.225,0.2147,0.2311,0.2662,0.2588,0.218,0.1888,Y tế
CNG,0.2506,0.2349,0.2268,0.2126,0.1555,0.0972,0.1537,0.1844,0.1695,0.1349,"Điện, nước & xăng dầu khí đốt"
CNN,0.1212,0.1195,0.0926,0.076,0.0423,0.0364,0.0419,0.0476,0.0704,0.0887,Xây dựng và Vật liệu
COM,0.2527,0.2345,0.2038,0.1793,0.1113,0.0839,0.0851,0.0029,0.0785,0.0619,Bán lẻ
CPA,0.0129,0.0143,-0.0668,-0.1616,-0.2874,-0.1774,-0.1169,-0.1349,-0.1641,-0.2193,Thực phẩm và đồ uống
CPC,0.1036,0.1009,0.0966,0.0915,0.0973,0.0929,0.1024,0.1056,0.1097,0.1083,Hóa chất
CQN,0.0679,0.1024,0.1226,0.1263,0.1085,0.0732,0.0973,0.101,0.0972,0.1218,Hàng & Dịch vụ Công nghiệp
CQT,0.0072,0.0136,-0.0362,0.0074,0.0434,0.0647,0.0929,0.1146,0.0666,0.0108,Xây dựng và Vật liệu
CRC,0.0409,0.0363,0.0428,0.0389,0.0156,0.0265,0.038,0.0389,0.046,0.0553,Xây dựng và Vật liệu
CRE,0.0,0.2021,0.3734,0.1929,0.1975,0.1053,0.0874,0.0294,0.0003,0.0063,Bất động sản
CSC,0.0445,0.0997,0.3735,0.288,0.0067,0.0845,0.0589,0.3127,0.0658,0.01,Xây dựng và Vật liệu
CSI,-0.0081,-0.1984,-0.1546,0.0335,0.0026,0.0782,0.0527,0.0657,-0.0702,-0.0876,Dịch vụ tài chính
CSM,0.1068,0.0885,0.0158,0.0039,0.0157,0.0263,0.0119,0.0221,0.0182,0.022,Ô tô và phụ tùng
CST,0.0174,0.0009,0.0287,0.0544,0.0779,0.0256,0.0581,0.2942,0.2167,0.0981,Tài nguyên Cơ bản
CSV,0.1802,0.2018,0.2605,0.2706,0.2205,0.1603,0.1773,0.2623,0.15,0.1541,Hóa chất
CT3,0.0393,0.0472,0.014,0.0211,0.0146,0.0113,0.0129,-0.0153,0.0017,0.0057,Xây dựng và Vật liệu
CT6,0.0069,0.0098,-0.1176,-0.0988,-0.0696,0.0108,0.1444,0.0786,0.1102,0.0255,Xây dựng và Vật liệu
